=== RESULTADOS DETALHADOS ===
Algoritmo,Grupo,Tamanho,Rodada,Tempo(ns),Tempo(ms),Trocas,Iteracoes
Selection Sort,A,1000,1526680,1,53,992,499500
Selection Sort,A,10000,40947880,40,95,9990,49995000
Selection Sort,A,100000,1989738960,1989,74,99987,704982704
Selection Sort,A,500000,48973269380,48973,27,499981,445698416
Selection Sort,A,1000000,195516207000,195516,21,999977,1783293664
Merge Sort,B,1000,185920,0,19,4321,9976
Merge Sort,B,10000,1076680,1,08,59135,133616
Merge Sort,B,100000,11225160,11,23,759870,1668928
Merge Sort,B,500000,57720920,57,72,4389564,9475712
Merge Sort,B,1000000,99781960,99,78,9279448,19951424
Shell Sort,B,1000,434980,0,43,8731,13743
Shell Sort,B,10000,831400,0,83,166100,236992
Shell Sort,B,100000,7313420,7,31,2953263,3879084
Shell Sort,B,500000,43388020,43,39,21433545,26797933
Shell Sort,B,1000000,93298060,93,30,50674794,62069905
Gnome Sort,C,1000,1316600,1,32,255374,511740
Gnome Sort,C,10000,32553320,32,55,25089013,50188016
Gnome Sort,C,100000,3264593500,3264,59,-1794379643,706307999
Gnome Sort,C,500000,81343830020,81343,83,-1948180529,399106227
Gnome Sort,C,1000000,325602168760,325602,17,913285748,968578029
